_id,subject,status
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-03,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-02,South Carolina Science Academic Standards - Science (2005-2014) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-01,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-05,South Carolina Science Academic Standards - Science (2005-2014) - Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grades-09-10-11-12,"South Carolina Science Academic Standards - Science (2005-2014) - Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-08,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-06,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-08,South Carolina Science Academic Standards - Science (2005-2014) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2389542_grade-04,South Carolina Social Studies Academic Standards - Social Studies (2011-2020) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-k,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-k,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-02,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2389542_grade-06,South Carolina Social Studies Academic Standards - Social Studies (2011-2020) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-03,South Carolina Science Academic Standards - Science (2005-2014) - Grade 3,Deprecated
02497FA2B69D4AF4B521BC0E04D3E310,"South Dakota Content Standards - CTE - Arts, A/V Technology and Communications: 10203 Multimedia Design",Published
033B7F9D29D84F09AF312E83F31AE348_D1000379_grades-09-10-11-12,"South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-04,South Carolina Science Academic Standards - Science (2005-2014) - Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-02,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-07,South Carolina Science Academic Standards - Science (2005-2014) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-07,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000268_grade-06,South Carolina Science Academic Standards - Science (2005-2014) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-04,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-05,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D1000379_grade-05,South Carolina Academic Standards for English Language Arts - English/Language Arts (2008-2015) - Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D100029D_grade-07,South Carolina Academic Standards for Mathematics - Mathematics (2007-2010) - Grade 7,Deprecated
